titulo_normalizado,id_hash,arquivo_origem,eh_principal_escolhido,confianca_metadados,motivo
escola nacional de administracao publica,cb7c29ec6739144683e02eeb16ca0e3985c127248c9afd7743d56c84770559e1,cb7c29ec6739144683e02eeb16ca0e3985c127248c9afd7743d56c84770559e1.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,cc54f2ff63859b5f7635dd5a7d90449738b9a2700eb44ac99945511dd9048f46,cc54f2ff63859b5f7635dd5a7d90449738b9a2700eb44ac99945511dd9048f46.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,cebc089d434d7756824bc62a718f022ac34a13bd66b67d24ac38e43a1874502d,cebc089d434d7756824bc62a718f022ac34a13bd66b67d24ac38e43a1874502d.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,d5769149bd69d7e4023e2bc51685c5ac84b636d8d53452d5e4fcc540972669bb,d5769149bd69d7e4023e2bc51685c5ac84b636d8d53452d5e4fcc540972669bb.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,d7ca4828c987d136bb4c6b628339571b95810d79ce40ca31411dd8610e8d31c2,d7ca4828c987d136bb4c6b628339571b95810d79ce40ca31411dd8610e8d31c2.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,ddc39caaecdbce0038869f1adef9be6b2c17e2a549f409dd28f941d2d6aa1def,ddc39caaecdbce0038869f1adef9be6b2c17e2a549f409dd28f941d2d6aa1def.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,e48cca5abe37ad03659c542fd090ce09071c0551f069486f48beb9ff4c2db9cc,e48cca5abe37ad03659c542fd090ce09071c0551f069486f48beb9ff4c2db9cc.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,e6b50836dcebd936e5fdc1d672789cce2502c9927a2cc7cb557a0a550ce9127c,e6b50836dcebd936e5fdc1d672789cce2502c9927a2cc7cb557a0a550ce9127c.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,e904ceaa5aceca474f11217a0d48bb8ca76ad31e06ed835ada45daefa2b42ca9,e904ceaa5aceca474f11217a0d48bb8ca76ad31e06ed835ada45daefa2b42ca9.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,eb0d744eb61ba001a7b89ba6c71947657b3ad3a8f21c33187a29bd9efa062ee8,eb0d744eb61ba001a7b89ba6c71947657b3ad3a8f21c33187a29bd9efa062ee8.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,f2a0deca0c9d25533c4af6976355df8ff76a7b7893af5e60567681518c7df9b1,f2a0deca0c9d25533c4af6976355df8ff76a7b7893af5e60567681518c7df9b1.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,f41db84b9b3e529de565b51c6592cd98196f0cae07a8d85aa47593802e2cb574,f41db84b9b3e529de565b51c6592cd98196f0cae07a8d85aa47593802e2cb574.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,feefd56be8610c9ccba46e8ce13725742b9f9616fee80a71abe560cf5798e434,feefd56be8610c9ccba46e8ce13725742b9f9616fee80a71abe560cf5798e434.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola de educacao e humanidades,000d709a9dbd7f858fc3e9c9339d06f42b4c65d69f903eebef1ff5ab584ef22f,000d709a9dbd7f858fc3e9c9339d06f42b4c65d69f903eebef1ff5ab584ef22f.pdf,False,media,grupo_suspeito_tamanho_14_nao_removido_automaticamente
escola de educacao e humanidades,2ea3ad0575f0450aae6cf139b317fbb00294abcf4efa14b5f0efb3aeb7702f38,2ea3ad0575f0450aae6cf139b317fbb00294abcf4efa14b5f0efb3aeb7702f38.pdf,False,media,grupo_suspeito_tamanho_14_nao_removido_automaticamente
escola de educacao e humanidades,530fa15c703c4cf0921e6a1cd3114fd35c9d2b9a83b1d58ff1d6433b4aeb555e,530fa15c703c4cf0921e6a1cd3114fd35c9d2b9a83b1d58ff1d6433b4aeb555e.pdf,False,media,grupo_suspeito_tamanho_14_nao_removido_automaticamente
escola de educacao e humanidades,6dce3ec190f26b6f7c18e80b33f961d8ee4c1738c363d71ae408bd1648958b9d,6dce3ec190f26b6f7c18e80b33f961d8ee4c1738c363d71ae408bd1648958b9d.pdf,False,media,grupo_suspeito_tamanho_14_nao_removido_automaticamente
escola de educacao e humanidades,872a34129a876c8f64264d5baa0ca9eafb2b36b811ec46696dc4a46972d5bb30,872a34129a876c8f64264d5baa0ca9eafb2b36b811ec46696dc4a46972d5bb30.pdf,False,media,grupo_suspeito_tamanho_14_nao_removido_automaticamente
escola de educacao e humanidades,88b25042cf4f6943d1797cec6791464bfc1db283dd561ecb76a08e5cadfed183,88b25042cf4f6943d1797cec6791464bfc1db283dd561ecb76a08e5cadfed183.pdf,False,media,grupo_suspeito_tamanho_14_nao_removido_automaticamente
escola de educacao e humanidades,a9b2279d99178b879c099c66c9c8661b48fd00ee99d9dce44458d0c0588b55f4,a9b2279d99178b879c099c66c9c8661b48fd00ee99d9dce44458d0c0588b55f4.pdf,False,media,grupo_suspeito_tamanho_14_nao_removido_automaticamente
escola de educacao e humanidades,b1eeb19e402301d23a10aff86c73f7fb46187a755f470860d412fdd11e10b107,b1eeb19e402301d23a10aff86c73f7fb46187a755f470860d412fdd11e10b107.pdf,False,media,grupo_suspeito_tamanho_14_nao_removido_automaticamente
escola de educacao e humanidades,bf3a8e39e487a2f03932b4aca2ec9c02e018b4b43dd12ede15e8345d7cc0cb51,bf3a8e39e487a2f03932b4aca2ec9c02e018b4b43dd12ede15e8345d7cc0cb51.pdf,False,media,grupo_suspeito_tamanho_14_nao_removido_automaticamente
escola de educacao e humanidades,d1c0db86c670efee6aad1543ac5be416120057732546d46209f5811c7b026a22,d1c0db86c670efee6aad1543ac5be416120057732546d46209f5811c7b026a22.pdf,False,media,grupo_suspeito_tamanho_14_nao_removido_automaticamente
escola de educacao e humanidades,d22a0f2491c1cfa10d1925b5a7a04ba35b0322773d1465174e0634da49c3f8d0,d22a0f2491c1cfa10d1925b5a7a04ba35b0322773d1465174e0634da49c3f8d0.pdf,False,media,grupo_suspeito_tamanho_14_nao_removido_automaticamente
escola de educacao e humanidades,d720d6caa98a18bad772e8b4889da122175851011d1ea5ee90496863ed8d41fb,d720d6caa98a18bad772e8b4889da122175851011d1ea5ee90496863ed8d41fb.pdf,False,media,grupo_suspeito_tamanho_14_nao_removido_automaticamente
escola de educacao e humanidades,eced2f1faa94b48b453f58c4662f8508291ea1275c8f33b5cd9698fd4da5b7b8,eced2f1faa94b48b453f58c4662f8508291ea1275c8f33b5cd9698fd4da5b7b8.pdf,False,media,grupo_suspeito_tamanho_14_nao_removido_automaticamente
escola de educacao e humanidades,fe5bad22caa8f7eff81a0bcef8d14192f144908841758bb3908ec61176862b4c,fe5bad22caa8f7eff81a0bcef8d14192f144908841758bb3908ec61176862b4c.pdf,False,media,grupo_suspeito_tamanho_14_nao_removido_automaticamente
universidade federal de santa maria,00230ecc265dd70e066e401d35998001bc2cc10469e6355a8da5f2e0da2a621c,00230ecc265dd70e066e401d35998001bc2cc10469e6355a8da5f2e0da2a621c.pdf,False,alta,grupo_suspeito_tamanho_36_nao_removido_automaticamente
universidade federal de santa maria,0c9620c1f135959219b82f0a20729f2abd4d2510596d82e2b52a513631df348c,0c9620c1f135959219b82f0a20729f2abd4d2510596d82e2b52a513631df348c.pdf,False,alta,grupo_suspeito_tamanho_36_nao_removido_automaticamente
universidade federal de santa maria,1260c12e633a522f65864f8297616aabca32266fcbaa04b96d87722d350e8959,1260c12e633a522f65864f8297616aabca32266fcbaa04b96d87722d350e8959.pdf,False,alta,grupo_suspeito_tamanho_36_nao_removido_automaticamente
universidade federal de santa maria,137385c2c2f8f0ea5a95358a615d472cdbd1dc6f8451d3cc890195f361ebf0c2,137385c2c2f8f0ea5a95358a615d472cdbd1dc6f8451d3cc890195f361ebf0c2.pdf,False,alta,grupo_suspeito_tamanho_36_nao_removido_automaticamente
universidade federal de santa maria,1b3ab8b6858c067a14d5806be509ce06cfcf46adc6e2dcda8090993af0c0c0ea,1b3ab8b6858c067a14d5806be509ce06cfcf46adc6e2dcda8090993af0c0c0ea.pdf,False,alta,grupo_suspeito_tamanho_36_nao_removido_automaticamente
universidade federal de santa maria,2747c61d1970b44cd91839a95822086ea56d2e617f0c2b7fa0e7f261455c1f03,2747c61d1970b44cd91839a95822086ea56d2e617f0c2b7fa0e7f261455c1f03.pdf,False,alta,grupo_suspeito_tamanho_36_nao_removido_automaticamente
universidade federal de santa maria,31b6fd527c1520f0d235d4788bd842c660ddcc733f80a08bc39082d8e2418fd9,31b6fd527c1520f0d235d4788bd842c660ddcc733f80a08bc39082d8e2418fd9.pdf,False,alta,grupo_suspeito_tamanho_36_nao_removido_automaticamente
universidade federal de santa maria,3aa80760ef3ba9e21bc80f6512a21a7c729f80d99ad4c1b8d635a2a794034fad,3aa80760ef3ba9e21bc80f6512a21a7c729f80d99ad4c1b8d635a2a794034fad.pdf,False,alta,grupo_suspeito_tamanho_36_nao_removido_automaticamente
universidade federal de santa maria,3f5b181a81e15c9be9d6297c81bf75eaf03bf867d733a7b0a02e1d789fc7d8bd,3f5b181a81e15c9be9d6297c81bf75eaf03bf867d733a7b0a02e1d789fc7d8bd.pdf,False,alta,grupo_suspeito_tamanho_36_nao_removido_automaticamente
universidade federal de santa maria,49e658de4dbdd5765181710ef33d1187e8010e8127c58980cd4a840521c7fc93,49e658de4dbdd5765181710ef33d1187e8010e8127c58980cd4a840521c7fc93.pdf,False,alta,grupo_suspeito_tamanho_36_nao_removido_automaticamente
universidade federal de santa maria,4ca91dced7cfcdb68baf23d7c3dd98328d6fc5710afa4b2ba441935af7e6b805,4ca91dced7cfcdb68baf23d7c3dd98328d6fc5710afa4b2ba441935af7e6b805.pdf,False,alta,grupo_suspeito_tamanho_36_nao_removido_automaticamente
universidade federal de santa maria,4decbf470bf5917e1f576431e7fd414efd0f5b8ec923787271734cb7816fea05,4decbf470bf5917e1f576431e7fd414efd0f5b8ec923787271734cb7816fea05.pdf,False,alta,grupo_suspeito_tamanho_36_nao_removido_automaticamente
universidade federal de santa maria,4e9610b6ef921aaf9f0da9507f0468156587c4ca8f662fbf7d2a3d0a47d25d8b,4e9610b6ef921aaf9f0da9507f0468156587c4ca8f662fbf7d2a3d0a47d25d8b.pdf,False,alta,grupo_suspeito_tamanho_36_nao_removido_automaticamente
universidade federal de santa maria,5f95d42152024c1c568bd4eb8cc244f698ae01cab0cf76074c12f7822c6aef22,5f95d42152024c1c568bd4eb8cc244f698ae01cab0cf76074c12f7822c6aef22.pdf,False,alta,grupo_suspeito_tamanho_36_nao_removido_automaticamente
universidade federal de santa maria,639bfce4c7f6472c988547841a1f996376353fad0aa468f83463b3bd11efdfc7,639bfce4c7f6472c988547841a1f996376353fad0aa468f83463b3bd11efdfc7.pdf,False,alta,grupo_suspeito_tamanho_36_nao_removido_automaticamente
universidade federal de santa maria,64135286ab48971aa3d69518f828bf708e649b6297655b791bb2b6aab6f5919a,64135286ab48971aa3d69518f828bf708e649b6297655b791bb2b6aab6f5919a.pdf,False,alta,grupo_suspeito_tamanho_36_nao_removido_automaticamente
universidade federal de santa maria,695c36412fd2b6a204b681b65fa6ac1bfb21d3a6efc162d7a8cd6e3d36e60b59,695c36412fd2b6a204b681b65fa6ac1bfb21d3a6efc162d7a8cd6e3d36e60b59.pdf,False,alta,grupo_suspeito_tamanho_36_nao_removido_automaticamente
universidade federal de santa maria,6c15f60c4471763ceba7cfb47593217c7c80d5d7b2902f0f2db65330c571e36e,6c15f60c4471763ceba7cfb47593217c7c80d5d7b2902f0f2db65330c571e36e.pdf,False,alta,grupo_suspeito_tamanho_36_nao_removido_automaticamente
universidade federal de santa maria,780e703b3492a8faa9688aab1ff067048f133687339d223bceb83ddf489dcdcb,780e703b3492a8faa9688aab1ff067048f133687339d223bceb83ddf489dcdcb.pdf,False,alta,grupo_suspeito_tamanho_36_nao_removido_automaticamente
